rating,text,type,probs,preds
3,decent bar food slow service our drinks were empty midway through our meal and didnt get a refill bathroom is pretty awful but it has nice lake views,Restaurant,"[0.981681764125824, 0.018318237736821175]",negative
2,went there last night about 530pm we orders two of the specials strip chicken fries redbeans  rice by the time we made it home the chicken strip were like it had been there earlier and the fries were luke worm and they gave us the wrong receipt ror the order couldnt take it back  i didnt want to wast my time calling up there,Seafood restaurant,"[0.9963061809539795, 0.003693890292197466]",negative
4,love their food kindness  chicken shrimp from there is very good  very fast on their orders  i didnt give 5 stars because they to upgrade or fix some things in their restaurant,Restaurant,"[0.002066246932372451, 0.9979337453842163]",positive
4,at this time no people fast food tasted good,Fast food restaurant,"[0.42400723695755005, 0.57599276304245]",mixed
4,friendly fast service an the food wass pretty good,American restaurant,"[0.06028841435909271, 0.9397115707397461]",positive
3,hambuger were good fries not so good service great very high priced,Restaurant,"[0.9231603145599365, 0.07683969289064407]",negative
3,filling subs,Takeout Restaurant,"[0.0936933159828186, 0.9063066840171814]",positive
3,small crowded interesting,Restaurant,"[0.5072247982025146, 0.49277523159980774]",mixed
2,no comment,Japanese restaurant,"[0.9485683441162109, 0.05143168196082115]",negative
4,goid food bit pricey but the real attraction is the lakefront  fed seagulls here myself for over 50 years now there is a huge fine nice place to hike a bit and enjoy the laje museum and playground just off parking lot,Family restaurant,"[0.004011019133031368, 0.9959890246391296]",positive
2,the peoples that works in this place are very  confuse and slow they dont know what the heck theyre doing i waited an hour 15 minute in the line just to pick an order for a doordash customer,Restaurant,"[0.9941987991333008, 0.00580117292702198]",negative
3,ive been going for awhile but i notice they are very stingy stingy stingy with chicken salad when the lettuce is more visible then the chicken salad on the croissant but the tea is great,Soup restaurant,"[0.41999953985214233, 0.5800004601478577]",mixed
2,very disappointed in our carry out tonight  very small portions for our almost 2800  what we had did have an excellent taste  too expensive for what we got,Barbecue restaurant,"[0.9888458847999573, 0.01115416083484888]",negative
2,fries were not seasoned well,Restaurant,"[0.9986591339111328, 0.001340862363576889]",negative
3,mediocre quality food and choices but friendly staff and always busy,Restaurant,"[0.9561247229576111, 0.04387523978948593]",negative
2,quality is so so how can a noodles company have bad mac  cheese overpriced for what they offer,Soup restaurant,"[0.9964039325714111, 0.003596084425225854]",negative
4,a good friendly family restaurant  a wide variety of fresh cooked meals,Family restaurant,"[0.004415237344801426, 0.9955847859382629]",positive
4,excellent hashbrowns great service staff good food,Restaurant,"[0.0051080272532999516, 0.9948920011520386]",positive
2,i was a regular here before they started to charge for having more than one taste of their draft beers what is the point of having 40 drafts if they wont let people taste new beers before deciding on something i will take my business to clubhouse bfd from now on  the food is a hit or miss depending on whos in the kitchen prices are high but the portions are pretty big,Restaurant,"[0.9828519821166992, 0.017148060724139214]",negative
2,cold food and 5 to 7 minutes in drive thru,Restaurant,"[0.9936850666999817, 0.006314972415566444]",negative
2,long wait for cold food,American restaurant,"[0.9749880433082581, 0.025011949241161346]",negative
4,the kids love this place,Southern restaurant (US),"[0.004317515529692173, 0.9956824779510498]",positive
4,not very fancy dont judge a book by its cover applies here its not pretty outside or inside but clean great breakfast reasonable prices and great service  best thick deep fried french toast i have ever had,Breakfast restaurant,"[0.0019470852566882968, 0.9980529546737671]",positive
2,slow poor service always takes forever to get thru their drive thru they need to update their software or their crew usually always mess my order up as well,Vegetarian restaurant,"[0.9951470494270325, 0.0048529296182096004]",negative
2,as like with most mcdonalds this place needs serious help and people that actually know what their job is,Restaurant,"[0.994918167591095, 0.005081827752292156]",negative
3,if you are going here to watch the game i would recommend this place there is plenty of tvs the wings were amazing i would recommend them i would not recommend the pizza it tasted as if it were a frozen pizza with extra grease added overall i would go back to this place if i were to just watch a sports game and get a beer gave 3 stars due to pizza,American restaurant,"[0.4150870442390442, 0.584912896156311]",mixed
4,new menu,Restaurant,"[0.2313888967037201, 0.7686111330986023]",mixed
4,great relaxing place good food,Traditional American restaurant,"[0.009655731730163097, 0.990344226360321]",positive
2,the ginger ale is passable the fried pickles are fairly good the fries brick was kinda gross i ordered the sriracha chicken and it was bland the fries where kinda silly and gross also it server james may have actually made the entire experience totally joyless never got a refill either  the only benefit of eating here was they are dog friendly the dog liked the fries for 50 for 2 if have rather not eaten,Pizza restaurant,"[0.9936875700950623, 0.006312498357146978]",negative
2,been going there my entire lifetheir pizzas are inconsistent actually ordered 2 to goabsolutely no sauce on the margarita pizzaalso ordered tiramasu to gocan the pieces get any smaller total rip off howevermaryann is awesome as a manager place would close without her,Italian restaurant,"[0.939586341381073, 0.060413658618927]",negative
4,it was nice,Restaurant,"[0.14614684879779816, 0.8538531064987183]",positive
3,usually am a big fan however the regular menu is now limited and the outdoor tables are much to close together for both distancing and noise,Seafood restaurant,"[0.9665002226829529, 0.03349984437227249]",negative
4,find place nice food people very nice,Breakfast restaurant,"[0.12190167605876923, 0.8780983686447144]",positive
3,the food was good but the service was lacking,Mexican restaurant,"[0.667951226234436, 0.3320487439632416]",mixed
4,did not go there,Fast food restaurant,"[0.9987047910690308, 0.0012952449033036828]",negative
3,portion was smaller than they used to be but vary good,Restaurant,"[0.09595982730388641, 0.9040402173995972]",positive
4,tracy served us our favorite admirals feast service was great and she was friendly and has personality we loved our meal thanks to our server and staff geeat food atmosphere and very clean,Family restaurant,"[0.01192141231149435, 0.9880785346031189]",positive
4,good food good service good atmosphere great prices,New American restaurant,"[0.004469818435609341, 0.9955301880836487]",positive
2,used to be a great restaurant  hit and miss now family visit on 7416  poor service server gave us attitude at every request rolling eyes questioning request for additional  eating utensils party of 7 but only had utensils for 5 carry out containers for left overs request for tomato ordered but not received childs mac n cheese tasted like flour paste with pepper never had worse bbq pulled pork sandwich bland and dry coleslaw dry lacking any dressing however burger burrito  reuben deep fried pickles and breakfast ordered were very good that being said probably not returning any time soon,American restaurant,"[0.9961932897567749, 0.003806721419095993]",negative
3,couldnt use phone coupons and food wasnt that appetizing,Hamburger restaurant,"[0.9969379901885986, 0.0030619956087321043]",negative
3,great coffee,Restaurant,"[0.017527202144265175, 0.9824727773666382]",positive
3,fast tasty food average,Restaurant,"[0.2877199649810791, 0.7122800350189209]",mixed
2,music way to loud no one really wearing masks hanging off to the side long wait to get food,Seafood restaurant,"[0.9987493753433228, 0.0012505941558629274]",negative
3,nice,Taco restaurant,"[0.02325143665075302, 0.9767485857009888]",positive
2,ok food great service cant beat their prices ice milk very weak,Fast food restaurant,"[0.7874491810798645, 0.2125508189201355]",mixed
2,poor food,Vegetarian restaurant,"[0.999502420425415, 0.0004976029740646482]",negative
3,just okay imo overpriced for what you get,Italian restaurant,"[0.9847649335861206, 0.01523501519113779]",negative
2,food and drinks are as advertised  always seems like this location struggles with either long wait times even on mobile orders or new team members learning if you have the option go to beechmont and hamblen thats where the a team is,Breakfast restaurant,"[0.024820230901241302, 0.9751798510551453]",positive
4,i have enjoyed the food in addition to the times we have visited in the past service was a little slow in regards to get a refill on the chips today but over all the experience was well enjoyed,Latin American restaurant,"[0.0027440262492746115, 0.9972559809684753]",positive
2,very dirty the young lady was nice but she had us wait until she finised her conversation before she attended to us a woman that came in after us complained about the same except she had to wait for the young lady to get off the phone really interesting,Fast food restaurant,"[0.9811791777610779, 0.018820876255631447]",negative
3,good service,Southern restaurant (US),"[0.05652378126978874, 0.9434762001037598]",positive
2,food wait was 50 minutest,Breakfast restaurant,"[0.8866337537765503, 0.11336617916822433]",negative
3,never get order right,Restaurant,"[0.99642014503479, 0.003579829353839159]",negative
3,typical rockys youll enjoy the food,Italian restaurant,"[0.10985036939382553, 0.8901495933532715]",positive
3,food is decent but service was slow  they also screwed up several peoples orders,Restaurant,"[0.9571234583854675, 0.04287654533982277]",negative
3,nice theater great concessions great pricesbutthe trains go by too often and ruin parts of the movie,Restaurant,"[0.13435998558998108, 0.8656400442123413]",positive
3,it was okay,Pizza restaurant,"[0.797950804233551, 0.20204921066761017]",mixed
3,the food is good but they need more cooks the wait is ridiculous,Family restaurant,"[0.3234143555164337, 0.6765856742858887]",mixed
2,i use to love this place but now it change the food was salty and they never offer to fix it,Restaurant,"[0.9960018992424011, 0.00399808818474412]",negative
4,nice place,Restaurant,"[0.0793556496500969, 0.9206444025039673]",positive
4,best mexican food around,Mexican restaurant,"[0.008400592021644115, 0.991599440574646]",positive
3,food was good as usual but a broken mens room during the saturday lunch rush is unacceptable,Fast food restaurant,"[0.9413160085678101, 0.05868406221270561]",negative
3,its a whopper,Fast food restaurant,"[0.3386842906475067, 0.6613157391548157]",mixed
3,coupons on the app suck,Restaurant,"[0.6533287763595581, 0.34667128324508667]",mixed
3,we are from out of town and our gps didnt get us to chilis right and we circled all over at least 20 mins so we finally arrived at 1020 and the first thing our server says is  we close at 11pm  i was not happy as it was from our late night site seeing i thought that was rude,Restaurant,"[0.9471144676208496, 0.05288558453321457]",negative
3,the food is great,Chicken restaurant,"[0.08992466330528259, 0.9100753664970398]",positive
3,food is very flavorful and tasty but not necessarily filling,Restaurant,"[0.004063584841787815, 0.995936393737793]",positive
3,wendys crave burgers are a really great tasting meal combos,Restaurant,"[0.003195051569491625, 0.99680495262146]",positive
3,very nice equipment but theyre not ready for their own crowds you can wait in very long lines 4560 minutes just to get harnessed the restaurant was decent but again long waits we saw only one guy trying to serve 40 or 50 people kudos to him but management needs to staff up a bit,Restaurant,"[0.5540693998336792, 0.4459306001663208]",mixed
4,good service and properly made sandwiches never had an order made incorrectly wish they would treat their staff better though,Restaurant,"[0.0033107162453234196, 0.9966892600059509]",positive
2,slow and wrong food again,Restaurant,"[0.9990610480308533, 0.0009389641927555203]",negative
2,service way to slow,Fast food restaurant,"[0.9805503487586975, 0.019449707120656967]",negative
3,would have been better if they hadnt had heating problems,Restaurant,"[0.9786643981933594, 0.021335581317543983]",negative
3,old school local bar very busy on the weekend nights karaoke on saturday night for entertainment good drink specials,Restaurant,"[0.05328049510717392, 0.9467195272445679]",positive
4,nice service good food,Restaurant,"[0.050892800092697144, 0.9491071701049805]",positive
3,ok lunch buffet the staff is very friendly the buffet selection was very limited and we had to wait for it to be replenished food quality was ok but nothing special,Takeout Restaurant,"[0.6655624508857727, 0.3344375491142273]",mixed
3,slow as hell sometimes,Fast food restaurant,"[0.9320603013038635, 0.06793975085020065]",negative
2,always late and bad communication ordered online for 515 and they made me wait for 10 minutes just to tell me they started making it,Pizza restaurant,"[0.9982569813728333, 0.001742997788824141]",negative
4,lot of food  fast service,Breakfast restaurant,"[0.10695129632949829, 0.8930486440658569]",positive
4,this location is always good for olive garden good service as well,Soup restaurant,"[0.005005456507205963, 0.9949945211410522]",positive
4,now called el parral food was great portions were goodsized will be back,Mexican restaurant,"[0.047164320945739746, 0.9528356790542603]",positive
2,its fast foodu get what u pay for and sometimes you dont,Restaurant,"[0.8106414675712585, 0.18935850262641907]",negative
3,good food nice people,Restaurant,"[0.1092393547296524, 0.890760600566864]",positive
2,dont leave anything valuable in your car or leave it unlocked,Southern restaurant (US),"[0.8253467082977295, 0.17465323209762573]",negative
2,food is really good but service is horrible  happen 3s so not sure about going back until service improves  drastically  love the pizza,Pizza restaurant,"[0.79617840051651, 0.20382161438465118]",mixed
4,really enjoyed the roof top when rain threatened they just pulled the glass roof over very pleasant,Restaurant,"[0.0028207344003021717, 0.9971792697906494]",positive
3,wrong order,Restaurant,"[0.9845185279846191, 0.015481472946703434]",negative
2,fair food and prices  wingwednesday is a good deal  bar side is best bet,Restaurant,"[0.04279996082186699, 0.9571999907493591]",positive
2,i wasnt in the mood to drive all the way to west vernor for some good mexican food lesson learned next time ill just ring the bell the second star only for the salsa and chips really good,Mexican restaurant,"[0.9872543215751648, 0.012745741754770279]",negative
2,prices are too high,Latin American restaurant,"[0.9427623748779297, 0.057237669825553894]",negative
2,the place looks really nice the food is ok the service could be a bit better  they mixed ours and customers who were sitting next to us order a couple times but there was a mouse running freely that whole time we were there we addressed that to the server the other customers did the same they didnt care too much about that i couldnt finish my food after seeing that little brat running around im sure the place is infested with mice if you see one most likely you have more of them we dealt with that problem in the apartment we were renting it is just unnacceptable,Restaurant,"[0.9861267805099487, 0.01387316919863224]",negative
3,we got there at 430 pm and were 1 of 3 tables the sign said seat yourself and we even asked someone if we should sit anywhere after we sat and she brought us water we waited at least 10 min before we were talked to and there were at least 10 people working and walking past us after someone finally figured out we were there  the service was pretty good food was good my husband got pretty sick that night though and that never happens to him we think it was from a dirty pint glass he said he noticed his beer went flat really fast with all that said  i would give it another chance,American restaurant,"[0.9542802572250366, 0.045719776302576065]",negative
2,people are really rude ,Fast food restaurant,"[0.5875993967056274, 0.41240063309669495]",mixed
3,food good waitress not dint really want to help us while ordering she wasnt very friendly hudson store 130 pm,Restaurant,"[0.7276279926300049, 0.27237197756767273]",mixed
2,the menu is behind the counter small font and one of the screens is actually behind a tall counter thats the dollar menu i guess they dont want anyone to see whats on it when i asked if they had a menu that was easier to read i was told no thats it  we had fish sandwiches with extra tartar sauce one had so much tartar sauce that the fish patty was slipping out the other one had so little it was hard the fries were good  this mcdonalds is old and it looks like it everything seems to be a little dim no sparkle here but my granddaughter does love the play area really the only reason we ever go,Restaurant,"[0.9868546724319458, 0.013145343400537968]",negative
2,overcharged for cookies i had to wait for,Restaurant,"[0.9452871084213257, 0.05471287667751312]",negative
3,ok,American restaurant,"[0.6049923300743103, 0.3950076401233673]",mixed
3,i like the service there,Restaurant,"[0.2124556601047516, 0.787544310092926]",mixed
2,this place is one that i will never visit at night ever again they were heavily understaffed we were greeted at the door and told to have a seat for a few minutes waited a few minutes and one of the waiters spoke on how it was time for him to go home but yet passed us by not even advising that he was our waiter and said nothing to us as were walking out the door he looks like where are you going ohhh now you want to speak never again id much rather go in the morning anyday vs late in the evening,Family restaurant,"[0.9777887463569641, 0.022211315110325813]",negative
2,some workers need more customer trainingyou ask a question and they take it personal,Restaurant,"[0.25210922956466675, 0.747890830039978]",mixed
3,the fish sandwich is great but the wait is entirely too long,American restaurant,"[0.2981266677379608, 0.7018733620643616]",mixed
3,the food was ok,Italian restaurant,"[0.7007085680961609, 0.2992914915084839]",mixed
4,real good chats the sweets are great as well other than the ambience i think the place is great,Restaurant,"[0.007316493429243565, 0.992683470249176]",positive
4,quick service,Restaurant,"[0.06753267347812653, 0.9324674010276794]",positive
2,im going to give this place one last time and chance to redeem themselves the hong kong steak was simply terrible the sauce awlful the shrimp fried rice was much better ,Chinese restaurant,"[0.9996147155761719, 0.00038523899274878204]",negative
2,very slow service,Vegetarian restaurant,"[0.9980448484420776, 0.001955147832632065]",negative
4,delicious breakfast ramen and the fried mashed potatoes were to die for the only problem was that the kielbasa which was supposed to be fried and hot was cold by the time it reached us,Seafood restaurant,"[0.031798623502254486, 0.9682013392448425]",positive
4,good football sunday here  wish i lived closer,Restaurant,"[0.006704967934638262, 0.9932950139045715]",positive
3,food was good and the place looked good after the remodel but the front end chick was rude and alil bit of a i dont wanna be here vibe lol,Vegetarian restaurant,"[0.46995222568511963, 0.5300477743148804]",mixed
3,only ok service was not great,Restaurant,"[0.9833496809005737, 0.01665036380290985]",negative
4,  very rich  original muy rico,Restaurant,"[0.021010980010032654, 0.9789889454841614]",positive
3,i dont eat popeyes chicken i ordered it for my woman,Seafood restaurant,"[0.12436383217573166, 0.8756362199783325]",positive
4,good food fast service   busy on the weekends  specially sunday,Restaurant,"[0.008012994192540646, 0.9919869899749756]",positive
4,i live for mexican food and all but its authentic like i would like it to be but its good,Tex-Mex restaurant,"[0.006434736307710409, 0.9935652613639832]",positive
4,food and service are very good,Brunch restaurant,"[0.02438431791961193, 0.9756156802177429]",positive
3,so so if u have no elsewhere to go u can try  ,Sushi restaurant,"[0.9931368827819824, 0.006863163318485022]",negative
3,the service is hit or miss other then that love the wings,Restaurant,"[0.24692568182945251, 0.7530743479728699]",mixed
3,good experience here  it was hardly crowded at all  we ordered the potato skins which were excellent nice and crispy  also got the club and meatloaf sandwich both were very tasty with crispy toasted bread and crunchy thin fries  im still amazed many restaurants dont carry sweet tea  but was further surprised to hear they had no lemonade  they have a bazillion beers but no lemonade  lastly we wanted to eat outside where there is a fenced in covered area but it was not available id think this would be a prime spot during covid times   that seemed illogical  would have given them 4 stars if it had been open  adding pic of club sandwich  recommended,American restaurant,"[0.004880787804722786, 0.9951192140579224]",positive
4,decent,American restaurant,"[0.22834987938404083, 0.7716501355171204]",mixed
3,wife ordered sweet tea but got regular tea  when wife not happy no one is happy,Tex-Mex restaurant,"[0.9816575050354004, 0.018342522904276848]",negative
2,over cooked but fast service in drivethur,Fish & chips restaurant,"[0.757346510887146, 0.242653489112854]",mixed
4,my kids love this place  they usually eat most of their food when we go which isnt the case everywhere we go this is one of their favs friendly staff clean reasonably priced kid friendly etc we go often  plan on returning,Takeout Restaurant,"[0.0015083970502018929, 0.998491644859314]",positive
2,cheap eats  charges extra for adding vegetables claims the bagged veggie is freshest available and are worth the extra charge  theyre not that fresh or worth the charge,Takeout Restaurant,"[0.9979323148727417, 0.0020676562562584877]",negative
3,curbside service is a disservice youre better off going through the 50 car line drivethru then hoping you arent told to pull around an wait for 15 more minutes for the lines always being long how and why are their fries always stale,Family restaurant,"[0.9941385984420776, 0.005861402489244938]",negative
2,so empty and cold and the bus stop a total death stop next to busy road,Takeout Restaurant,"[0.988186240196228, 0.011813811957836151]",negative
3,slower with all the updates,Restaurant,"[0.9201213121414185, 0.07987872511148453]",negative
3,food is so soservice qwick,Restaurant,"[0.26717519760131836, 0.7328248023986816]",mixed
3,i hate to leave a low review but really feel i am being generous with a 3 star we have been here several times on our travels and it seems that with each visit the cleanliness food and service go downhill  first off the restaurant was dirty the bathrooms were so horrible i couldnt use them i believe that they either need a good cleaning service or that the cleaning should be part of the staff duties during slow times it wasnt busy when we were there but i saw several workers texting and chatting they need a bucket and towel and should start cleaning yuck  the food is okay but not as good as other big boys we have frequented  our waiter was friendly enough and the service was timely but the overall impression of everything else left a bad taste in my mouth  this last visit will be our last visit,Restaurant,"[0.9970033764839172, 0.00299664749763906]",negative
2,our waiter was very knowledgeable and professional  i ordered a medium filet mignon it came back charred dry and completely brown throughout  we also ordered salmon which came back chewy gummy and not fully cooked  the manager said the chef cooks the salmon sushi temperature  it was not a good experience for our first time,Seafood restaurant,"[0.993796706199646, 0.0062033142894506454]",negative
3,great work crew  good food offerings,Fast food restaurant,"[0.007766497787088156, 0.9922335147857666]",positive
4,food is very good wait staff excellant,Mexican restaurant,"[0.021364498883485794, 0.9786354899406433]",positive
2,very slow service order was incorrect and manager was complaining about employees out loud,Fast food restaurant,"[0.9985834360122681, 0.0014165665488690138]",negative
2,went there waited 45 min to be told my order was never put in had to wait another 30 for my order alot of young people who ate not real good at customer service,Pizza restaurant,"[0.9917581677436829, 0.00824186485260725]",negative
2,staff was slow to respond and seemed confused the entire time we were here,Restaurant,"[0.9971730709075928, 0.0028268611058592796]",negative
2,the chef at one of our favorite restaurants took the night off our usual monday night dinner group gathered for what we anticipated would be another wonderful mealnot  first the restaurant was about half full when we arrived at 6pm and were seated in the atrium the usual brie and pear pizza was over cooked and burnt around the edges the peasant salad lettuce was old and peas tough it appeared to have been a leftover from friday night the crab ravioli was tough and just above room temperature the chicken ravioli was tough and didnt taste like it had in past visits the spring salad with chicken had little if any dressing and we asked for more which arrived some time later the plates came out in two groupingsnot together all in all not what we expected,Italian restaurant,"[0.9959092140197754, 0.004090804141014814]",negative
2,worse time ever at golden corral it was very busy and lines waiting for foodplus most were empty  even the desserts didnt even come close to getting our moneys worth plus side was servers were great at getting drink refills,Family restaurant,"[0.9973806738853455, 0.0026192697696387768]",negative
4,i dont like tacos but i like taco johns  nuf siad,Tex-Mex restaurant,"[0.9129526615142822, 0.08704730123281479]",negative
2,the food is good i was very impressed the first time i ordered the second time was awful the man on the phone was so frustrated for some reason i asked to pay over the phone he took down my card info and i asked if i could leave a tip and he got mad and put me on hold and never came back when i went to pick up my food i asked the gentlemen bringing it out if he knew who was on the phone and he said the owner was taking orders how awful during these stressful times people are ordering and tipping for pick up and this is how the owner treats them i wont be returning he also forgot my bottle of wine which i didnt even bother to call about it was free with my order as a promo,Restaurant,"[0.9255331158638, 0.07446692883968353]",negative
3,they burnt my pizza,Delivery Restaurant,"[0.9989703893661499, 0.0010295978281646967]",negative
2,alright first off right off the bat when we walked in the hostess just sat people didnt even take party numbers before going back which caused more wait time then we got seated right by people where our elbows were bumping into each other then our food came out cold waitress forgot the silver ware didnt get silver ware until 15 minutes after our food refills werent given to us at all i havent been unsatisfied with a meal in a while until i came to this apple bees in this location  i gave it a two because you can tell our waitress was trying her best but honestly wasnt entirely her fault,Traditional American restaurant,"[0.999663233757019, 0.0003367552999407053]",negative
2,it took 15min to get my food and then it was old,Restaurant,"[0.9959321618080139, 0.004067826550453901]",negative
2,mothers day and my sister has waited over an hour for meal and it still hasnt came out management needs to step up,Restaurant,"[0.9702392220497131, 0.029760781675577164]",negative
2,they are covid crazy,Family restaurant,"[0.6176794171333313, 0.3823205232620239]",mixed
3,slow service,Restaurant,"[0.9834294319152832, 0.01657058112323284]",negative
2,went to about 930 at night and was told that there would be a wait because they were making fresh fries and everything and i didnt mind to wait i was there for over 20 minutes waiting for my food and once i got it it was all cold not one single thing was warm the lady at the frofront counter apologised for the wait and said she had nothing to do with the food and told me that i should call and complain to a manager,Restaurant,"[0.9867401123046875, 0.013259904459118843]",negative
4,love this place there alot ,Seafood restaurant,"[0.033928100019693375, 0.9660719037055969]",positive
3,decent coffee drinks   but lets be real guys everyone does not run on dunkin  can you say caribou ,Takeout Restaurant,"[0.7792375683784485, 0.22076240181922913]",mixed
2,food was good but service was horrible,Breakfast restaurant,"[0.8751084804534912, 0.12489145249128342]",negative
3,very slow line,Fast food restaurant,"[0.9955281615257263, 0.00447180075570941]",negative
2,overpriced youre better off going to a real italian restraunt instead of this corporate cookie cutter type place,Soup restaurant,"[0.999530553817749, 0.0004695213574450463]",negative
2,attention good  bad maintenance,Restaurant,"[0.6659152507781982, 0.33408477902412415]",mixed
4,i was pleased with some of their new selections glad to find that the food is no longer overly salty,Hamburger restaurant,"[0.007034441456198692, 0.992965579032898]",positive
4,tacos they are delicious loved the carne asada,Taco restaurant,"[0.018308008089661598, 0.9816919565200806]",positive
3,the staff was friendly however our food was served luke warm,Restaurant,"[0.9878247976303101, 0.012175280600786209]",negative
3,have had better,Restaurant,"[0.9864029288291931, 0.013597087934613228]",negative
3,great food slow service,Vegetarian restaurant,"[0.24025355279445648, 0.7597464323043823]",mixed
3,good burgers meh fries service is a bit slow but what do you expect,Breakfast restaurant,"[0.005055281333625317, 0.9949447512626648]",positive
4,ive had jimmy johns before but never actually gone into the restaurant we were greeted by friendly faces and the employee behind the counter started talking star wars with me since i had a star wars tshirt on i appreciated that and then he took our order we werent even finished filling our drinks when the sandwiches were ready as usual the food was great well be going back for sure  ccw friendly,Takeout Restaurant,"[0.010538882575929165, 0.9894611239433289]",positive
2,only thing good about this place is their salad,Restaurant,"[0.9993669390678406, 0.0006331027834676206]",negative
2,food was cold and not very tasty sry guys,Family restaurant,"[0.9996247291564941, 0.0003752319316845387]",negative
2,waiting was too long like up to 50 mins also they served limeades in a plastic cup so disappointed,Restaurant,"[0.9958348274230957, 0.004165156278759241]",negative
2,fast and friendly service  but the food was gross,Fast food restaurant,"[0.9017679691314697, 0.09823199361562729]",negative
2,food is very good  expensive watch your bill as i was overcharged 477,Breakfast restaurant,"[0.45435330271720886, 0.5456466674804688]",mixed
4,1 tacos 1 margaritas,Restaurant,"[0.895683228969574, 0.10431680083274841]",negative
4,great food and beer,Restaurant,"[0.0035957410000264645, 0.9964042901992798]",positive
4,awesome river front seating a unique place great for date night or night out,Pizza restaurant,"[0.002585439942777157, 0.9974145889282227]",positive
4,super great food is wayyyy over priced for what i can get back home drinks were amazing every thing else was just okay,American restaurant,"[0.15730684995651245, 0.8426932096481323]",positive
2,i dont like mcdonalds i dont like processed food,Restaurant,"[0.9857617616653442, 0.01423823181539774]",negative
3,if your looking to get steak go elsewhere it was terrible also not cooked the way i wanted,Southern restaurant (US),"[0.9996657371520996, 0.00033428080496378243]",negative
2,the staff didnt seem to care at all about their jobs and everyone looked a bit confused,Vegetarian restaurant,"[0.998819887638092, 0.001180125866085291]",negative
4,always good food and good prices,Southern restaurant (US),"[0.0029442571103572845, 0.9970557689666748]",positive
2,ghetto,Restaurant,"[0.6158700585365295, 0.38412997126579285]",mixed
4,good food,Restaurant,"[0.030685730278491974, 0.9693143367767334]",positive
2,one sandwhich takes 20 min to make and get out employees just stand and talk,Restaurant,"[0.9659674167633057, 0.03403253108263016]",negative
3,sometimes good but other times too busy and the servers neglect your table,Breakfast restaurant,"[0.9660874605178833, 0.03391250595450401]",negative
2,can only order online and menu doesnt have a normal size quesidila ,Fast food restaurant,"[0.9630380272865295, 0.03696202486753464]",negative
3,way over priced for just chicken fingers never thought there could be a chicken place more expensive than chickfila but raising canes is didnt care for there dipping sauce at all,Southern restaurant (US),"[0.9923305511474609, 0.00766936456784606]",negative
3,its burger king what do you expect,Fast food restaurant,"[0.40543708205223083, 0.5945629477500916]",mixed
3,food is decent but the place is a bit dirty it is very greasy and oil is all over the seats and tables staff were decent as well since it took me a long time to order since the menu is so big,Takeout Restaurant,"[0.9117270112037659, 0.08827298134565353]",negative
2,good comfort food good service next visitgood service  horrible to see what was going on in the kitchen most of the kitchen staff needs retraining  watched one cook eat what looked to be an entire meal while she cooked sneezed into her hands ate some moreand never once regloved yet she was the only staff in the kitchen wearing a hair net manager cant claim innocentshe was in the kitchen during these events proper break area needs to be established for food and drink for employees,Breakfast restaurant,"[0.29862168431282043, 0.7013782858848572]",mixed
2,five years ago it would of 4 12 stars prices are high and quality is down need to go back to the way it was when it opened,Restaurant,"[0.9776709079742432, 0.022329067811369896]",negative
3,wendys is usually always quick i go through the drive through but it is a new store pretty good food and tea,Restaurant,"[0.011195932514965534, 0.988804042339325]",positive
4,has been is now and will always be my favorite original cleveland bbq great stuff,Barbecue restaurant,"[0.0023824116215109825, 0.9976175427436829]",positive
4,good selection and food little pricey but not bad friendly staff,Hot dog restaurant,"[0.004534366074949503, 0.9954656958580017]",positive
3,anything fried at this place tastes funny they need to change the oil more,Fast food restaurant,"[0.9937965869903564, 0.006203411612659693]",negative
2,we came in today because weve never been we were there with our daughter who is almost one while my wife was busy with our little one i placed our order appetizer entrees something for our daughter and a couple adult beverages for us our waitress hardly said a word to us after that every interaction we had i thanked her not once did i receive a youre welcome from her i noticed the change in her attitude towards us so i decided to try something i stopped drinking my beverage of which i hardly drank up until this point after an hour of waiting for our food  they were not busy our waitress must have noticed i stopped drinking it because she did a complete 180 she was now very cordial interacting with our daughter and even packed up our leftovers not sure if thats common practice here struck a chord with me as im very responsible when it comes to our daughter and her safety if i felt i could not handle a less than mediocre bloody mary i would have forgone it altogether not impressed by this whole experience,American restaurant,"[0.39210033416748047, 0.6078996658325195]",mixed
3,not a great value,Cajun restaurant,"[0.999068558216095, 0.0009315214701928198]",negative
4,dont feel up side all way up,Seafood restaurant,"[0.9541252255439758, 0.04587476700544357]",negative
4,fun for my daughter and i some of the machines werent calibrated but we still managed to have a great time,Pizza restaurant,"[0.002979015465825796, 0.9970210194587708]",positive
4,nice place for a quick dinner,Restaurant,"[0.022412946447730064, 0.9775870442390442]",positive
3,the service is bad,Family restaurant,"[0.98208087682724, 0.017919132485985756]",negative
2,low service not personal,Breakfast restaurant,"[0.9989712238311768, 0.001028808648698032]",negative
2,mediocre fish fry and the server was quite obviously annoyed at our patronagelike serving a table was the last thing she wanted to do if the fish had been great it wouldnt have been a total loss but it was evidently under a warmer for a while 2 stars for speedy,Restaurant,"[0.9996405839920044, 0.00035938594373874366]",negative
